x0,x1,time,log_det,setp_reward,sensitivity_y
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(9.385813148788928, shape=(), dtype=float64)",0.001,-55.262042231857095,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0.]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.009385813148788929, shape=(), dtype=float64)","tf.Tensor(16.458318865913963, shape=(), dtype=float64)",0.002,-47.73183183764962,"tf.Tensor(7.530210394207472, shape=(), dtype=float64)","tf.Tensor([[ 9.38581315e-03  0.00000000e+00 -2.24264706e-03 -4.38437638e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.02584413201470289, shape=(), dtype=float64)","tf.Tensor(23.4700868949661, shape=(), dtype=float64)",0.003,-45.431862589792516,"tf.Tensor(2.2999692478572342, shape=(), dtype=float64)","tf.Tensor([[ 2.80867791e-02 -8.83422612e-07 -6.71746514e-03 -1.64364141e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.04931421890966899, shape=(), dtype=float64)","tf.Tensor(30.420735271957053, shape=(), dtype=float64)",0.004,-43.88651578276945,"tf.Tensor(1.5453468070226961, shape=(), dtype=float64)","tf.Tensor([[ 5.60316841e-02 -4.19525049e-06 -1.34138161e-02 -3.93952762e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.07973495418162604, shape=(), dtype=float64)","tf.Tensor(37.30988953398392, shape=(), dtype=float64)",0.005,-42.62392004037539,"tf.Tensor(1.2625957423915182, shape=(), dtype=float64)","tf.Tensor([[ 9.31487703e-02 -1.21331360e-05 -2.23209013e-02 -7.64557220e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.11704484371560997, shape=(), dtype=float64)","tf.Tensor(44.137182720141205, shape=(), dtype=float64)",0.006,-41.37905807442848,"tf.Tensor(1.2448619659500793, shape=(), dtype=float64)","tf.Tensor([[ 1.39365745e-01 -2.75384543e-05 -3.34277635e-02 -1.30767835e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.1611820264357512, shape=(), dtype=float64)","tf.Tensor(50.902255371722504, shape=(), dtype=float64)",0.007,-40.03457080915915,"tf.Tensor(1.344487265265549, shape=(), dtype=float64)","tf.Tensor([[ 1.94609790e-01 -5.38873013e-05 -4.67232885e-02 -2.05436760e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.21208428180747368, shape=(), dtype=float64)","tf.Tensor(57.60475553171517, shape=(), dtype=float64)",0.008,-38.6524694271668,"tf.Tensor(1.3821013819888748, shape=(), dtype=float64)","tf.Tensor([[ 2.58807570e-01 -9.52814389e-05 -6.21962072e-02 -3.03522447e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.26968903733918886, shape=(), dtype=float64)","tf.Tensor(64.24433874359119, shape=(), dtype=float64)",0.009000000000000001,-37.32615609622211,"tf.Tensor(1.3263133309740738, shape=(), dtype=float64)","tf.Tensor([[ 3.31885245e-01 -1.56439189e-04 -7.98350969e-02 -4.28039408e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.33393337608278006, shape=(), dtype=float64)","tf.Tensor(70.82066804939764, shape=(), dtype=float64)",0.01,-36.09560420203756,"tf.Tensor(1.2305518940990297, shape=(), dtype=float64)","tf.Tensor([[ 4.13768473e-01 -2.42686276e-04 -9.96283833e-02 -5.81956479e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.4047540441321777, shape=(), dtype=float64)","tf.Tensor(77.3334139871501, shape=(), dtype=float64)",0.011,-34.96432188929766,"tf.Tensor(1.1312823126788345, shape=(), dtype=float64)","tf.Tensor([[ 5.04382427e-01 -3.59946626e-04 -1.21564342e-01 -7.68196590e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.4820874581193278, shape=(), dtype=float64)","tf.Tensor(83.78225458753238, shape=(), dtype=float64)",0.012,-33.92237553224556,"tf.Tensor(1.0419463566391087, shape=(), dtype=float64)","tf.Tensor([[ 6.03651801e-01 -5.14733118e-04 -1.45631102e-01 -9.89636550e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.5658697127068602, shape=(), dtype=float64)","tf.Tensor(90.16687536990626, shape=(), dtype=float64)",0.013000000000000001,-32.9561836037133,"tf.Tensor(0.9661919280845339, shape=(), dtype=float64)","tf.Tensor([[ 0.71150082 -0.00071414 -0.17181664 -0.01249107]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.6560365880767665, shape=(), dtype=float64)","tf.Tensor(96.48696933763449, shape=(), dtype=float64)",0.014,-32.051390846151904,"tf.Tensor(0.9047927575695169, shape=(), dtype=float64)","tf.Tensor([[ 0.82785323 -0.00096582 -0.20010881 -0.01549391]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.7525235574144009, shape=(), dtype=float64)","tf.Tensor(102.74223697272087, shape=(), dtype=float64)",0.015,-31.193320041702243,"tf.Tensor(0.8580708048716517, shape=(), dtype=float64)","tf.Tensor([[ 0.95263236 -0.00127802 -0.23049528 -0.01893227]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.8552657943871218, shape=(), dtype=float64)","tf.Tensor(108.93238622977091, shape=(), dtype=float64)",0.016,-30.366952416746997,"tf.Tensor(0.8263676268898905, shape=(), dtype=float64)","tf.Tensor([[ 1.08576108 -0.00165949 -0.26296363 -0.02283305]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.9641981806168927, shape=(), dtype=float64)","tf.Tensor(115.05713252927683, shape=(), dtype=float64)",0.017,-29.557402568461924,"tf.Tensor(0.8095498489770421, shape=(), dtype=float64)","tf.Tensor([[ 1.22716181 -0.00211956 -0.29750126 -0.02722268]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.0792553131461695, shape=(), dtype=float64)","tf.Tensor(121.1161987502305, shape=(), dtype=float64)",0.018000000000000002,-28.751367737509902,"tf.Tensor(0.8060348303814493, shape=(), dtype=float64)","tf.Tensor([[ 1.37675657 -0.00266808 -0.33409545 -0.03212712]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.2003715118964, shape=(), dtype=float64)","tf.Tensor(127.10931522206825, shape=(), dtype=float64)",0.019,-27.939317260956877,"tf.Tensor(0.8120504739923433, shape=(), dtype=float64)","tf.Tensor([[ 1.53446696 -0.00331542 -0.37273334 -0.03757185]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.3274808271184684, shape=(), dtype=float64)","tf.Tensor(133.03621971595132, shape=(), dtype=float64)",0.02,-27.117295737088373,"tf.Tensor(0.822021525952124, shape=(), dtype=float64)","tf.Tensor([[ 1.70021417 -0.00407247 -0.41340195 -0.04358189]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.4605170468344197, shape=(), dtype=float64)","tf.Tensor(138.89665743538563, shape=(), dtype=float64)",0.021,-26.28704566918573,"tf.Tensor(0.8302500673748128, shape=(), dtype=float64)","tf.Tensor([[ 1.87391899 -0.00495061 -0.45608814 -0.05018177]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.5994137042698053, shape=(), dtype=float64)","tf.Tensor(144.69038100618513, shape=(), dtype=float64)",0.022,-25.45425490963239,"tf.Tensor(0.8327907612563834, shape=(), dtype=float64)","tf.Tensor([[ 2.05550184 -0.00596174 -0.50077867 -0.05739554]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.7441040852759904, shape=(), dtype=float64)","tf.Tensor(150.4171504657823, shape=(), dtype=float64)",0.023,-24.626042516441032,"tf.Tensor(0.8282123864174906, shape=(), dtype=float64)","tf.Tensor([[ 2.24488276 -0.00711822 -0.54746016 -0.06524678]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.8945212357417727, shape=(), dtype=float64)","tf.Tensor(156.0767332518901, shape=(), dtype=float64)",0.024,-23.808963589889146,"tf.Tensor(0.8170789233430753, shape=(), dtype=float64)","tf.Tensor([[ 2.4419814  -0.0084329  -0.5961191  -0.07375858]], shape=(1, 4), dtype=float64)"
"tf.Tensor(2.050597968993663, shape=(), dtype=float64)","tf.Tensor(161.66890419051913, shape=(), dtype=float64)",0.025,-23.008033813335622,"tf.Tensor(0.8009297750911486, shape=(), dtype=float64)","tf.Tensor([[ 2.64671707 -0.00991909 -0.64674186 -0.08295356]], shape=(1, 4), dtype=float64)"
"tf.Tensor(2.212266873184182, shape=(), dtype=float64)","tf.Tensor(167.1934454833545, shape=(), dtype=float64)",0.026000000000000002,-22.22657177626933,"tf.Tensor(0.7814620563513159, shape=(), dtype=float64)","tf.Tensor([[ 2.85900873 -0.01159055 -0.69931468 -0.09285385]], shape=(1, 4), dtype=float64)"
"tf.Tensor(2.3794603186675363, shape=(), dtype=float64)","tf.Tensor(172.6501466944959, shape=(), dtype=float64)",0.027,-21.466455675137297,"tf.Tensor(0.7601160987870941, shape=(), dtype=float64)","tf.Tensor([[ 3.078775   -0.01346149 -0.7538237  -0.10348108]], shape=(1, 4), dtype=float64)"
"tf.Tensor(2.5521104653620323, shape=(), dtype=float64)","tf.Tensor(178.03880473656568, shape=(), dtype=float64)",0.028,-20.72849520707131,"tf.Tensor(0.7379604912702149, shape=(), dtype=float64)","tf.Tensor([[ 3.30593416 -0.01554657 -0.81025491 -0.11485643]], shape=(1, 4), dtype=float64)"
"tf.Tensor(2.730149270098598, shape=(), dtype=float64)","tf.Tensor(183.35922385618866, shape=(), dtype=float64)",0.029,-20.01277170820366,"tf.Tensor(0.7157234828403602, shape=(), dtype=float64)","tf.Tensor([[ 3.54040418 -0.01786085 -0.86859421 -0.12700058]], shape=(1, 4), dtype=float64)"
"tf.Tensor(2.9135084939547866, shape=(), dtype=float64)","tf.Tensor(188.6112156188483, shape=(), dtype=float64)",0.03,-19.31890099116133,"tf.Tensor(0.6938707181236765, shape=(), dtype=float64)","tf.Tensor([[ 3.78210271 -0.02041982 -0.92882738 -0.1399337 ]], shape=(1, 4), dtype=float64)"
"tf.Tensor(3.102119709573635, shape=(), dtype=float64)","tf.Tensor(193.794598893123, shape=(), dtype=float64)",0.031,-18.646219069224088,"tf.Tensor(0.6726819384684575, shape=(), dtype=float64)","tf.Tensor([[ 4.03094709 -0.02323939 -0.99094007 -0.15367552]], shape=(1, 4), dtype=float64)"
