global_step=212, episodic_return=[-39904.133]
global_step=216, episodic_return=[-39777.28]
global_step=220, episodic_return=[-39703.234]
global_step=228, episodic_return=[-39773.74]
global_step=372, episodic_return=[-39959.633]
global_step=376, episodic_return=[-39936.625]
global_step=388, episodic_return=[-39951.92]
global_step=424, episodic_return=[-39851.9]
global_step=560, episodic_return=[-39889.79]
global_step=604, episodic_return=[-39850.293]
global_step=608, episodic_return=[-39588.36]
global_step=616, episodic_return=[-39890.996]
global_step=792, episodic_return=[-39945.37]
global_step=796, episodic_return=[-39530.234]
global_step=816, episodic_return=[-39801.14]
global_step=852, episodic_return=[-39627.535]
global_step=936, episodic_return=[-39973.234]
global_step=1032, episodic_return=[-39739.086]
global_step=1040, episodic_return=[-39461.383]
global_step=1060, episodic_return=[-39849.465]
global_step=1112, episodic_return=[-39937.79]
global_step=1204, episodic_return=[-39967.938]
global_step=1232, episodic_return=[-39879.105]
global_step=1288, episodic_return=[-39593.234]
global_step=1356, episodic_return=[-39590.17]
global_step=1364, episodic_return=[-39950.523]
global_step=1428, episodic_return=[-39879.9]
global_step=1480, episodic_return=[-39890.035]
global_step=1540, episodic_return=[-39908.062]
global_step=1544, episodic_return=[-39930.332]
global_step=1652, episodic_return=[-39617.984]
global_step=1708, episodic_return=[-39751.137]
global_step=1728, episodic_return=[-39896.703]
global_step=1776, episodic_return=[-39608.863]
global_step=1848, episodic_return=[-39872.46]
global_step=1888, episodic_return=[-39946.746]
global_step=1896, episodic_return=[-39942.9]
global_step=1964, episodic_return=[-39870.523]
global_step=2036, episodic_return=[-39900.156]
global_step=2100, episodic_return=[-39927.113]
global_step=2124, episodic_return=[-39687.082]
global_step=2184, episodic_return=[-39765.426]
global_step=2288, episodic_return=[-39922.75]
global_step=2296, episodic_return=[-39585.117]
global_step=2300, episodic_return=[-39894.996]
global_step=2460, episodic_return=[-39960.574]
global_step=2468, episodic_return=[-39949.547]
global_step=2488, episodic_return=[-39919.438]
global_step=2492, episodic_return=[-38651.094]
global_step=2644, episodic_return=[-39917.16]
global_step=2652, episodic_return=[-39886.18]
global_step=2700, episodic_return=[-39850.574]
global_step=2728, episodic_return=[-39793.938]
global_step=2876, episodic_return=[-39704.125]
global_step=2892, episodic_return=[-39668.984]
global_step=2900, episodic_return=[-39862.28]
global_step=2944, episodic_return=[-39669.07]
global_step=3088, episodic_return=[-39878.02]
global_step=3096, episodic_return=[-39744.004]
global_step=3100, episodic_return=[-39967.664]
global_step=3172, episodic_return=[-39234.414]
global_step=3252, episodic_return=[-39928.773]
global_step=3256, episodic_return=[-39957.094]
global_step=3296, episodic_return=[-39909.957]
global_step=3416, episodic_return=[-39622.426]
global_step=3424, episodic_return=[-39960.977]
global_step=3476, episodic_return=[-39921.617]
global_step=3484, episodic_return=[-39741.47]
global_step=3572, episodic_return=[-39954.438]
global_step=3580, episodic_return=[-39970.4]
global_step=3672, episodic_return=[-39875.88]
global_step=3700, episodic_return=[-39762.918]
global_step=3780, episodic_return=[-39899.176]
global_step=3788, episodic_return=[-39823.363]
global_step=3868, episodic_return=[-39894.887]
global_step=3944, episodic_return=[-39639.188]
global_step=3988, episodic_return=[-39831.953]
global_step=3988, episodic_return=[-39825.23]
global_step=4064, episodic_return=[-39905.805]
