x0,x1,time,det_fi,log_det
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.046916608, shape=(), dtype=float32)",0.001,0.0,inf
"tf.Tensor(4.691661e-05, shape=(), dtype=float32)","tf.Tensor(0.14076228, shape=(), dtype=float32)",0.002,0.0,inf
"tf.Tensor(0.0001876789, shape=(), dtype=float32)","tf.Tensor(0.28153265, shape=(), dtype=float32)",0.003,0.0,inf
"tf.Tensor(0.00046921155, shape=(), dtype=float32)","tf.Tensor(0.4692188, shape=(), dtype=float32)",0.004,0.0,inf
"tf.Tensor(0.00093843037, shape=(), dtype=float32)","tf.Tensor(0.70380753, shape=(), dtype=float32)",0.005,0.0,inf
"tf.Tensor(0.0016422379, shape=(), dtype=float32)","tf.Tensor(-1.2606411, shape=(), dtype=float32)",0.006,2.450464475331419e-71,162.58726401422103
"tf.Tensor(0.00038159674, shape=(), dtype=float32)","tf.Tensor(1.3162439, shape=(), dtype=float32)",0.007,3.1236934994092973e-55,125.50316399909306
"tf.Tensor(0.0016978406, shape=(), dtype=float32)","tf.Tensor(-0.557155, shape=(), dtype=float32)",0.008,2.567572365097768e-53,121.09404908121809
"tf.Tensor(0.0011406855, shape=(), dtype=float32)","tf.Tensor(2.1102967, shape=(), dtype=float32)",0.009000000000000001,2.6019328007225832e-51,116.47558518894928
"tf.Tensor(0.0032509824, shape=(), dtype=float32)","tf.Tensor(0.3269751, shape=(), dtype=float32)",0.01,1.6803615861781405e-49,112.30766055658376
"tf.Tensor(0.0035779574, shape=(), dtype=float32)","tf.Tensor(0.84287643, shape=(), dtype=float32)",0.011,7.876359342272622e-48,108.46021867900697
"tf.Tensor(0.0044208337, shape=(), dtype=float32)","tf.Tensor(-0.8408961, shape=(), dtype=float32)",0.012,1.2315046491557687e-46,105.71067756395723
"tf.Tensor(0.0035799374, shape=(), dtype=float32)","tf.Tensor(2.015341, shape=(), dtype=float32)",0.013000000000000001,1.647010680844892e-45,103.11736724852729
"tf.Tensor(0.0055952785, shape=(), dtype=float32)","tf.Tensor(0.41994965, shape=(), dtype=float32)",0.014,7.269423921056735e-45,101.63265213689624
"tf.Tensor(0.006015228, shape=(), dtype=float32)","tf.Tensor(1.1233466, shape=(), dtype=float32)",0.015,3.096375649969852e-44,100.18351180940131
"tf.Tensor(0.0071385745, shape=(), dtype=float32)","tf.Tensor(-0.37424922, shape=(), dtype=float32)",0.016,1.3035973552030408e-43,98.74603135960562
"tf.Tensor(0.0067643253, shape=(), dtype=float32)","tf.Tensor(0.42286062, shape=(), dtype=float32)",0.017,5.140842496640616e-43,97.37394202285638
"tf.Tensor(0.007187186, shape=(), dtype=float32)","tf.Tensor(1.2669348, shape=(), dtype=float32)",0.018000000000000002,2.011946424145276e-42,96.00947128202537
"tf.Tensor(0.008454121, shape=(), dtype=float32)","tf.Tensor(-0.09065461, shape=(), dtype=float32)",0.019,6.046338901582489e-42,94.90912095711272
"tf.Tensor(0.008363466, shape=(), dtype=float32)","tf.Tensor(0.84711856, shape=(), dtype=float32)",0.02,1.7239126826150474e-41,93.86139228993216
"tf.Tensor(0.009210585, shape=(), dtype=float32)","tf.Tensor(-0.41476256, shape=(), dtype=float32)",0.021,4.779776357813289e-41,92.84159505441541
"tf.Tensor(0.008795822, shape=(), dtype=float32)","tf.Tensor(0.6167975, shape=(), dtype=float32)",0.022,1.2465630710799533e-40,91.88301349852054
"tf.Tensor(0.009412619, shape=(), dtype=float32)","tf.Tensor(-0.55019027, shape=(), dtype=float32)",0.023,3.4373500265036975e-40,90.86870288637436
"tf.Tensor(0.008862429, shape=(), dtype=float32)","tf.Tensor(2.8204386, shape=(), dtype=float32)",0.024,1.3262022322684928e-39,89.51849923361004
"tf.Tensor(0.011682868, shape=(), dtype=float32)","tf.Tensor(1.7370092, shape=(), dtype=float32)",0.025,3.6433615699480233e-39,88.50791186306301
"tf.Tensor(0.013419878, shape=(), dtype=float32)","tf.Tensor(0.70530427, shape=(), dtype=float32)",0.026000000000000002,8.061501621840101e-39,87.71371878216273
"tf.Tensor(0.014125182, shape=(), dtype=float32)","tf.Tensor(-0.2748158, shape=(), dtype=float32)",0.027,1.5247253976057325e-38,87.07641920707218
"tf.Tensor(0.013850367, shape=(), dtype=float32)","tf.Tensor(1.0378561, shape=(), dtype=float32)",0.028,3.0417118935833773e-38,86.38581305396053
"tf.Tensor(0.014888223, shape=(), dtype=float32)","tf.Tensor(0.15000021, shape=(), dtype=float32)",0.029,5.728041823675342e-38,85.75285980252275
"tf.Tensor(0.015038224, shape=(), dtype=float32)","tf.Tensor(1.5564584, shape=(), dtype=float32)",0.03,1.0917791581380363e-37,85.10783982004679
"tf.Tensor(0.016594682, shape=(), dtype=float32)","tf.Tensor(0.7599262, shape=(), dtype=float32)",0.031,2.050529826347526e-37,84.47755022914546
"tf.Tensor(0.017354608, shape=(), dtype=float32)","tf.Tensor(0.013897359, shape=(), dtype=float32)",0.032,3.6584764356929414e-37,83.89860165443349
"tf.Tensor(0.017368505, shape=(), dtype=float32)","tf.Tensor(1.5609107, shape=(), dtype=float32)",0.033,6.450088265231951e-37,83.33155462553356
"tf.Tensor(0.018929416, shape=(), dtype=float32)","tf.Tensor(0.9049257, shape=(), dtype=float32)",0.034,1.1286854426579708e-36,82.7720097173307
"tf.Tensor(0.019834341, shape=(), dtype=float32)","tf.Tensor(0.298787, shape=(), dtype=float32)",0.035,1.9328683574733106e-36,82.23405825258247
"tf.Tensor(0.020133128, shape=(), dtype=float32)","tf.Tensor(1.9863542, shape=(), dtype=float32)",0.036000000000000004,3.3522127999209555e-36,81.68344268271757
"tf.Tensor(0.022119483, shape=(), dtype=float32)","tf.Tensor(1.4689089, shape=(), dtype=float32)",0.037,5.992821372637469e-36,81.10250103275456
"tf.Tensor(0.023588393, shape=(), dtype=float32)","tf.Tensor(1.0006226, shape=(), dtype=float32)",0.038,1.107331153847228e-35,80.48852550050002
"tf.Tensor(0.024589015, shape=(), dtype=float32)","tf.Tensor(0.5813146, shape=(), dtype=float32)",0.039,2.0823621546143687e-35,79.85697535418555
"tf.Tensor(0.02517033, shape=(), dtype=float32)","tf.Tensor(0.2108002, shape=(), dtype=float32)",0.04,3.856838025228753e-35,79.2406305714619
"tf.Tensor(0.02538113, shape=(), dtype=float32)","tf.Tensor(2.1325104, shape=(), dtype=float32)",0.041,6.567597927454114e-35,78.70833010140718
"tf.Tensor(0.02751364, shape=(), dtype=float32)","tf.Tensor(1.8485336, shape=(), dtype=float32)",0.042,1.1788158149422707e-34,78.12338277386917
"tf.Tensor(0.029362174, shape=(), dtype=float32)","tf.Tensor(1.6126115, shape=(), dtype=float32)",0.043000000000000003,2.3037856424583776e-34,77.45333946041957
