x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.001,"tf.Tensor(1.000000000000002e-24, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(55.262042231857095, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0.]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0067041522491349485, shape=(), dtype=float64)",0.002,"tf.Tensor(1.000000000000002e-24, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(55.262042231857095, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0.]], shape=(1, 4), dtype=float64)"
"tf.Tensor(6.7041522491349485e-06, shape=(), dtype=float64)","tf.Tensor(-0.00995805780697613, shape=(), dtype=float64)",0.003,"tf.Tensor(1.0009491562496254e-24, shape=(), dtype=float64)","tf.Tensor(9.491562496235053e-28, shape=(), dtype=float64)","tf.Tensor(55.261093525771436, shape=(), dtype=float64)","tf.Tensor([[ 6.70415225e-06  0.00000000e+00 -3.00700946e-05 -4.19907526e-10]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-3.2539055578411817e-06, shape=(), dtype=float64)","tf.Tensor(0.05481951246463726, shape=(), dtype=float64)",0.004,"tf.Tensor(1.0152174253129931e-24, shape=(), dtype=float64)","tf.Tensor(1.42682690633677e-26, shape=(), dtype=float64)","tf.Tensor(55.24693943017246, shape=(), dtype=float64)","tf.Tensor([[-3.25473308e-06 -6.31016152e-10  1.19403443e-04  1.97010738e-09]], shape=(1, 4), dtype=float64)"
"tf.Tensor(5.156560690679608e-05, shape=(), dtype=float64)","tf.Tensor(-0.16427359139502562, shape=(), dtype=float64)",0.005,"tf.Tensor(1.4372753777003266e-24, shape=(), dtype=float64)","tf.Tensor(4.220579523873334e-25, shape=(), dtype=float64)","tf.Tensor(54.89929300936851, shape=(), dtype=float64)","tf.Tensor([[ 5.15775691e-05  1.56890709e-09 -6.47590541e-04 -3.44383119e-08]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.00011270798448822955, shape=(), dtype=float64)","tf.Tensor(0.6063098060908901, shape=(), dtype=float64)",0.006,"tf.Tensor(9.09903626213562e-24, shape=(), dtype=float64)","tf.Tensor(7.661760884435293e-24, shape=(), dtype=float64)","tf.Tensor(53.05387372920247, shape=(), dtype=float64)","tf.Tensor([[-1.12880522e-04 -1.09586847e-08  2.76476748e-03  3.44683897e-07]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0004936018216026607, shape=(), dtype=float64)","tf.Tensor(-1.5989445822766628, shape=(), dtype=float64)",0.007,"tf.Tensor(2.4568472840662385e-23, shape=(), dtype=float64)","tf.Tensor(1.5469436578526766e-23, shape=(), dtype=float64)","tf.Tensor(52.060578202702935, shape=(), dtype=float64)","tf.Tensor([[-2.43049622e-04 -2.34277566e-08  3.91853836e-03 -2.11020792e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.0011053427606740021, shape=(), dtype=float64)","tf.Tensor(0.6980542012069466, shape=(), dtype=float64)",0.008,"tf.Tensor(7.836719188597885e-23, shape=(), dtype=float64)","tf.Tensor(5.379871904531647e-23, shape=(), dtype=float64)","tf.Tensor(50.9006368629262, shape=(), dtype=float64)","tf.Tensor([[-3.32375127e-04 -8.22969253e-08  7.30930649e-03  2.91545360e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.0004072885594670555, shape=(), dtype=float64)","tf.Tensor(-1.4942204464457505, shape=(), dtype=float64)",0.009000000000000001,"tf.Tensor(1.5016242741201374e-22, shape=(), dtype=float64)","tf.Tensor(7.179523552603489e-23, shape=(), dtype=float64)","tf.Tensor(50.25032467420595, shape=(), dtype=float64)","tf.Tensor([[-3.74354303e-04 -1.40891100e-07  8.44158832e-03  4.65683203e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.0019015090059128058, shape=(), dtype=float64)","tf.Tensor(0.8157439051206916, shape=(), dtype=float64)",0.01,"tf.Tensor(2.95653346710364e-22, shape=(), dtype=float64)","tf.Tensor(1.4549091929835027e-22, shape=(), dtype=float64)","tf.Tensor(49.57285458981545, shape=(), dtype=float64)","tf.Tensor([[-3.62504163e-04 -1.99211564e-07  1.18112280e-02  1.33699985e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.001085765100792114, shape=(), dtype=float64)","tf.Tensor(-1.3636721996264125, shape=(), dtype=float64)",0.011,"tf.Tensor(4.794274736767801e-22, shape=(), dtype=float64)","tf.Tensor(1.8377412696641606e-22, shape=(), dtype=float64)","tf.Tensor(49.08944960303668, shape=(), dtype=float64)","tf.Tensor([[-2.90372009e-04 -2.57259597e-07  1.29224801e-02  1.82318949e-05]], shape=(1, 4), dtype=float64)"
