x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.001,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.002,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.003,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.004,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.005,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.006,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.007,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.008,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.009000000000000001,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.01,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.011,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.012,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.013000000000000001,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.014,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.015,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.016,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.017,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.018000000000000002,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.019,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.02,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.021,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.022,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.023,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.024,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.025,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.026000000000000002,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.027,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.028,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.029,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.03,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.031,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.032,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.033,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.034,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.035,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.036000000000000004,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.00078489905, shape=(), dtype=float32)",0.037,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(7.848991e-07, shape=(), dtype=float32)","tf.Tensor(0.1359343, shape=(), dtype=float32)",0.038,0.0,inf,[ 0.00269476  0.          0.          0.         -0.00269398]
