x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.001,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0.]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.002315666103724974, shape=(), dtype=float64)",0.002,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0.]], shape=(1, 4), dtype=float64)"
"tf.Tensor(2.315666103724974e-06, shape=(), dtype=float64)","tf.Tensor(0.0011895515845815122, shape=(), dtype=float64)",0.003,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[ 2.31566610e-06  0.00000000e+00 -1.03864436e-05 -5.00977012e-11]], shape=(1, 4), dtype=float64)"
"tf.Tensor(3.505217688306486e-06, shape=(), dtype=float64)","tf.Tensor(0.01668111717332496, shape=(), dtype=float64)",0.004,"tf.Tensor(5.0829366764192314e-92, shape=(), dtype=float64)","tf.Tensor(210.2119393749798, shape=(), dtype=float64)","tf.Tensor([[ 3.50521632e-06 -2.17957865e-10  2.04781092e-05  1.11288605e-10]], shape=(1, 4), dtype=float64)"
"tf.Tensor(2.0186334861631448e-05, shape=(), dtype=float64)","tf.Tensor(-0.021136559097685345, shape=(), dtype=float64)",0.005,"tf.Tensor(-3.2115725521441813e-72, shape=(), dtype=float64)","tf.Tensor(nan, shape=(), dtype=float64)","tf.Tensor([[ 2.01859807e-05  2.11835088e-10 -1.61922294e-04 -3.05089354e-09]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-9.502242360538985e-07, shape=(), dtype=float64)","tf.Tensor(0.1314468662786641, shape=(), dtype=float64)",0.006,"tf.Tensor(1.6470331661700737e-56, shape=(), dtype=float64)","tf.Tensor(128.44578961935136, shape=(), dtype=float64)","tf.Tensor([[-9.53337110e-07 -3.18627109e-09  5.68670553e-04  1.21453072e-08]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.00013049664204261018, shape=(), dtype=float64)","tf.Tensor(-0.3751681356828215, shape=(), dtype=float64)",0.007,"tf.Tensor(2.9234805206102566e-51, shape=(), dtype=float64)","tf.Tensor(116.35906487712231, shape=(), dtype=float64)","tf.Tensor([[ 1.30552791e-04  8.66547448e-09 -2.56903266e-03 -2.02278610e-07]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.0002446714936402113, shape=(), dtype=float64)","tf.Tensor(1.4218943758502536, shape=(), dtype=float64)",0.008,"tf.Tensor(4.052170028113945e-46, shape=(), dtype=float64)","tf.Tensor(104.51966173069141, shape=(), dtype=float64)","tf.Tensor([[-2.45582242e-04 -4.50068856e-08  1.00714673e-02  1.86152974e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0011772228822100423, shape=(), dtype=float64)","tf.Tensor(-0.6799584604407634, shape=(), dtype=float64)",0.009000000000000001,"tf.Tensor(1.0414456930551748e-42, shape=(), dtype=float64)","tf.Tensor(96.66796406840044, shape=(), dtype=float64)","tf.Tensor([[-5.06939856e-04 -9.84285270e-08  2.04102729e-02 -2.72636968e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.000497264421769279, shape=(), dtype=float64)","tf.Tensor(1.7520920944944907, shape=(), dtype=float64)",0.01,"tf.Tensor(1.943033284290482e-37, shape=(), dtype=float64)","tf.Tensor(84.5313981401706, shape=(), dtype=float64)","tf.Tensor([[-6.19617190e-04 -2.62400350e-07  3.29424821e-02 -4.11673641e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0022493565162637697, shape=(), dtype=float64)","tf.Tensor(-0.2690990852313391, shape=(), dtype=float64)",0.011,"tf.Tensor(2.7739373017718694e-36, shape=(), dtype=float64)","tf.Tensor(81.87279562824942, shape=(), dtype=float64)","tf.Tensor([[-5.45382439e-04 -4.72401061e-07  4.31715818e-02 -1.36848650e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0019802574310324307, shape=(), dtype=float64)","tf.Tensor(1.215795305420763, shape=(), dtype=float64)",0.012,"tf.Tensor(9.635029119428439e-35, shape=(), dtype=float64)","tf.Tensor(78.32507293067468, shape=(), dtype=float64)","tf.Tensor([[-5.74740127e-04  4.88771977e-08  8.67261544e-03  2.03879098e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.003196052736453194, shape=(), dtype=float64)","tf.Tensor(-0.7031650711148596, shape=(), dtype=float64)",0.013000000000000001,"tf.Tensor(1.2090937550348873e-33, shape=(), dtype=float64)","tf.Tensor(75.79543695258869, shape=(), dtype=float64)","tf.Tensor([[-3.26468316e-04  3.81376750e-07 -2.79119070e-02  4.86234886e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0024928876653383344, shape=(), dtype=float64)","tf.Tensor(1.9284357040200533, shape=(), dtype=float64)",0.014,"tf.Tensor(1.6782433933865331e-32, shape=(), dtype=float64)","tf.Tensor(73.16497532858914, shape=(), dtype=float64)","tf.Tensor([[ 2.50250236e-04  4.11495845e-07 -6.20837022e-02  8.00099332e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.004421323369358387, shape=(), dtype=float64)","tf.Tensor(0.12318349419104413, shape=(), dtype=float64)",0.015,"tf.Tensor(1.51627717513717e-31, shape=(), dtype=float64)","tf.Tensor(70.96387977910325, shape=(), dtype=float64)","tf.Tensor([[ 1.21027536e-03  2.06799826e-07 -9.83358912e-02  1.02236923e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.004544506863549431, shape=(), dtype=float64)","tf.Tensor(0.08160757684457398, shape=(), dtype=float64)",0.016,"tf.Tensor(5.904003977476779e-31, shape=(), dtype=float64)","tf.Tensor(69.6045071218256, shape=(), dtype=float64)","tf.Tensor([[-1.69129005e-03  5.04509043e-07  2.75504209e-02  2.45688708e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.004626114440394005, shape=(), dtype=float64)","tf.Tensor(0.2955648238930716, shape=(), dtype=float64)",0.017,"tf.Tensor(1.2686578616730002e-29, shape=(), dtype=float64)","tf.Tensor(66.5370081569979, shape=(), dtype=float64)","tf.Tensor([[ 8.93732553e-03 -9.61312020e-07 -4.11749138e-01  2.95311465e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.004921679264287077, shape=(), dtype=float64)","tf.Tensor(-0.37785726239027184, shape=(), dtype=float64)",0.018000000000000002,"tf.Tensor(1.704007283260868e-28, shape=(), dtype=float64)","tf.Tensor(63.939399901221165, shape=(), dtype=float64)","tf.Tensor([[-2.75845837e-02  3.72012864e-06  1.12043685e+00 -6.50619791e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.004543822001896805, shape=(), dtype=float64)","tf.Tensor(2.0483688461204803, shape=(), dtype=float64)",0.019,"tf.Tensor(3.761866730560808e-27, shape=(), dtype=float64)","tf.Tensor(60.8448822057445, shape=(), dtype=float64)","tf.Tensor([[ 1.00615551e-01 -1.30922750e-05 -4.22876610e+00  2.65421352e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.006592190848017285, shape=(), dtype=float64)","tf.Tensor(0.607220313142266, shape=(), dtype=float64)",0.02,"tf.Tensor(2.284432738868603e-26, shape=(), dtype=float64)","tf.Tensor(59.04109467864369, shape=(), dtype=float64)","tf.Tensor([[ 2.28949978e-01 -3.02541724e-05 -9.55532953e+00  5.93410175e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.007199411161159551, shape=(), dtype=float64)","tf.Tensor(-0.7426183172464393, shape=(), dtype=float64)",0.021,"tf.Tensor(8.497487463285719e-26, shape=(), dtype=float64)","tf.Tensor(57.72744189059963, shape=(), dtype=float64)","tf.Tensor([[ 3.57486943e-01 -4.79551474e-05 -1.48588557e+01  9.19558240e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0064567928439131115, shape=(), dtype=float64)","tf.Tensor(2.487603010404465, shape=(), dtype=float64)",0.022,"tf.Tensor(7.205661323486368e-25, shape=(), dtype=float64)","tf.Tensor(55.58976031286838, shape=(), dtype=float64)","tf.Tensor([[ 4.86298192e-01 -6.62482201e-05 -2.01344656e+01  1.24447382e-02]], shape=(1, 4), dtype=float64)"
