x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.001,"tf.Tensor(1.000000000000002e-24, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(55.262042231857095, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0.]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.004631332207449948, shape=(), dtype=float64)",0.002,"tf.Tensor(1.000000000000002e-24, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(55.262042231857095, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0.]], shape=(1, 4), dtype=float64)"
"tf.Tensor(4.631332207449948e-06, shape=(), dtype=float64)","tf.Tensor(0.00237900297376053, shape=(), dtype=float64)",0.003,"tf.Tensor(1.0004529620768056e-24, shape=(), dtype=float64)","tf.Tensor(4.529620768037016e-28, shape=(), dtype=float64)","tf.Tensor(55.261589372336644, shape=(), dtype=float64)","tf.Tensor([[ 4.63133221e-06  0.00000000e+00 -2.07728871e-05 -2.00390805e-10]], shape=(1, 4), dtype=float64)"
"tf.Tensor(7.010335181210478e-06, shape=(), dtype=float64)","tf.Tensor(0.03336255712148837, shape=(), dtype=float64)",0.004,"tf.Tensor(1.0021797056887218e-24, shape=(), dtype=float64)","tf.Tensor(1.7267436119161488e-27, shape=(), dtype=float64)","tf.Tensor(55.25986489828044, shape=(), dtype=float64)","tf.Tensor([[ 7.01032970e-06 -4.35915731e-10  4.09571295e-05  4.45163326e-10]], shape=(1, 4), dtype=float64)"
"tf.Tensor(4.037289230269885e-05, shape=(), dtype=float64)","tf.Tensor(-0.042279442668033275, shape=(), dtype=float64)",0.005,"tf.Tensor(1.1087155809127622e-24, shape=(), dtype=float64)","tf.Tensor(1.0653587522404045e-25, shape=(), dtype=float64)","tf.Tensor(55.15884002084249, shape=(), dtype=float64)","tf.Tensor([[ 4.03714758e-05  4.23815480e-10 -3.23867542e-04 -1.22039987e-08]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-1.9065503653344272e-06, shape=(), dtype=float64)","tf.Tensor(0.2629241278347173, shape=(), dtype=float64)",0.006,"tf.Tensor(2.4049381336427443e-24, shape=(), dtype=float64)","tf.Tensor(1.296222552729982e-24, shape=(), dtype=float64)","tf.Tensor(54.38451805268731, shape=(), dtype=float64)","tf.Tensor([[-1.91900533e-06 -6.37326395e-09  1.13757383e-03  4.85923083e-08]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.00026101757746938286, shape=(), dtype=float64)","tf.Tensor(-0.7507652038926661, shape=(), dtype=float64)",0.007,"tf.Tensor(2.9018186588494644e-23, shape=(), dtype=float64)","tf.Tensor(2.66132484548519e-23, shape=(), dtype=float64)","tf.Tensor(51.89411947468935, shape=(), dtype=float64)","tf.Tensor([[ 2.61238458e-04  1.73499495e-08 -5.14245095e-03 -8.09442156e-07]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.0004897476264232833, shape=(), dtype=float64)","tf.Tensor(1.7214050942757346, shape=(), dtype=float64)",0.008,"tf.Tensor(1.1517932297767245e-22, shape=(), dtype=float64)","tf.Tensor(8.61611363891778e-23, shape=(), dtype=float64)","tf.Tensor(50.51555198774625, shape=(), dtype=float64)","tf.Tensor([[ 6.89415374e-04  1.63951397e-08 -9.15059999e-03  1.84356162e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0012316574678524514, shape=(), dtype=float64)","tf.Tensor(-0.23441055084082052, shape=(), dtype=float64)",0.009000000000000001,"tf.Tensor(3.6700631049579124e-22, shape=(), dtype=float64)","tf.Tensor(2.518269875181188e-22, shape=(), dtype=float64)","tf.Tensor(49.356663189138935, shape=(), dtype=float64)","tf.Tensor([[ 1.34163293e-03  1.54447901e-08 -1.53826729e-02 -3.55699320e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.000997246917011631, shape=(), dtype=float64)","tf.Tensor(1.1900631913808433, shape=(), dtype=float64)",0.01,"tf.Tensor(4.254253549416248e-22, shape=(), dtype=float64)","tf.Tensor(5.841904444583355e-23, shape=(), dtype=float64)","tf.Tensor(49.2089527282775, shape=(), dtype=float64)","tf.Tensor([[-6.39586094e-04 -9.71678644e-08  7.41749212e-03  1.58023675e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0021873101083924743, shape=(), dtype=float64)","tf.Tensor(-0.5988624573067205, shape=(), dtype=float64)",0.011,"tf.Tensor(1.2436777577224012e-21, shape=(), dtype=float64)","tf.Tensor(8.182524027807764e-22, shape=(), dtype=float64)","tf.Tensor(48.136214029314544, shape=(), dtype=float64)","tf.Tensor([[-2.23900052e-03 -3.03119982e-07  2.78699520e-02  2.95125112e-05]], shape=(1, 4), dtype=float64)"
