x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.001,"tf.Tensor(1.000000000000002e-24, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(55.262042231857095, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0.]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.026816608996539794, shape=(), dtype=float64)",0.002,"tf.Tensor(1.000000000000002e-24, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(55.262042231857095, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0.]], shape=(1, 4), dtype=float64)"
"tf.Tensor(2.6816608996539794e-05, shape=(), dtype=float64)","tf.Tensor(-0.03983727011821283, shape=(), dtype=float64)",0.003,"tf.Tensor(1.0151865000363506e-24, shape=(), dtype=float64)","tf.Tensor(1.5186500036348616e-26, shape=(), dtype=float64)","tf.Tensor(55.24696989236401, shape=(), dtype=float64)","tf.Tensor([[ 2.68166090e-05  0.00000000e+00 -1.20280379e-04 -6.71852041e-09]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-1.3020661121673036e-05, shape=(), dtype=float64)","tf.Tensor(0.21930673285032135, shape=(), dtype=float64)",0.004,"tf.Tensor(1.2436834372090347e-24, shape=(), dtype=float64)","tf.Tensor(2.2849693717268417e-25, shape=(), dtype=float64)","tf.Tensor(55.04396474162044, shape=(), dtype=float64)","tf.Tensor([[-1.30339039e-05 -2.52406461e-09  4.77703523e-04  3.15292195e-08]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0002062860717286483, shape=(), dtype=float64)","tf.Tensor(-0.6575313645667287, shape=(), dtype=float64)",0.005,"tf.Tensor(8.013840133505299e-24, shape=(), dtype=float64)","tf.Tensor(6.770156696296264e-24, shape=(), dtype=float64)","tf.Tensor(53.18087216824425, shape=(), dtype=float64)","tf.Tensor([[ 2.06469980e-04  6.28338596e-09 -2.59255185e-03 -5.51266723e-07]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.00045124529283808047, shape=(), dtype=float64)","tf.Tensor(1.7222508362324287, shape=(), dtype=float64)",0.006,"tf.Tensor(2.0399607484035223e-23, shape=(), dtype=float64)","tf.Tensor(1.2385767350529924e-23, shape=(), dtype=float64)","tf.Tensor(52.2465265721707, shape=(), dtype=float64)","tf.Tensor([[ 5.32216162e-04 -4.36636973e-09 -3.40586311e-03  1.94017006e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0012710055433943484, shape=(), dtype=float64)","tf.Tensor(-0.36754168497488604, shape=(), dtype=float64)",0.007,"tf.Tensor(6.477000639726098e-23, shape=(), dtype=float64)","tf.Tensor(4.4370398913225756e-23, shape=(), dtype=float64)","tf.Tensor(51.091199599893386, shape=(), dtype=float64)","tf.Tensor([[ 9.90523737e-04 -1.49663774e-08 -6.45802222e-03 -3.62514771e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0009034638584194623, shape=(), dtype=float64)","tf.Tensor(1.4698495619726264, shape=(), dtype=float64)",0.008,"tf.Tensor(1.101163139950621e-22, shape=(), dtype=float64)","tf.Tensor(4.534630759780112e-23, shape=(), dtype=float64)","tf.Tensor(50.560505024763124, shape=(), dtype=float64)","tf.Tensor([[-4.49110855e-04 -9.75801136e-08  5.84946399e-03  1.70717166e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.002373313420392089, shape=(), dtype=float64)","tf.Tensor(-0.565215741041748, shape=(), dtype=float64)",0.009000000000000001,"tf.Tensor(4.0377132920909016e-22, shape=(), dtype=float64)","tf.Tensor(2.9365501521402806e-22, shape=(), dtype=float64)","tf.Tensor(49.261193530953115, shape=(), dtype=float64)","tf.Tensor([[-1.69439748e-03 -2.64843424e-07  1.58574193e-02  3.08061620e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.001808097679350341, shape=(), dtype=float64)","tf.Tensor(1.9211976960796024, shape=(), dtype=float64)",0.01,"tf.Tensor(1.3687836496367745e-21, shape=(), dtype=float64)","tf.Tensor(9.650123204276844e-22, shape=(), dtype=float64)","tf.Tensor(48.04036445438496, shape=(), dtype=float64)","tf.Tensor([[-2.71929188e-03 -6.54700030e-07  2.80607211e-02  4.71151242e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0037292953754299437, shape=(), dtype=float64)","tf.Tensor(-0.0624279095935536, shape=(), dtype=float64)",0.011,"tf.Tensor(3.23599787016047e-21, shape=(), dtype=float64)","tf.Tensor(1.8672142205236957e-21, shape=(), dtype=float64)","tf.Tensor(47.179949611849366, shape=(), dtype=float64)","tf.Tensor([[-3.49788974e-03 -1.21289449e-06  3.79628782e-02  5.43705502e-05]], shape=(1, 4), dtype=float64)"
