x0,x1,time,det_fi
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.001,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.002,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.003,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.004,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.005,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.006,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.007,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.008,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.009000000000000001,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.01,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.011,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.012,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.013000000000000001,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.014,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.015,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.016,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.017,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.018000000000000002,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.019,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.02,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.021,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.022,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.023,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.024,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.025,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.026000000000000002,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.027,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.028,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.029,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.03,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.031,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.032,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.033,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.034,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.035,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)",0.036000000000000004,0.0
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.00078489905, shape=(), dtype=float32)",0.037,0.0
"tf.Tensor(7.848991e-07, shape=(), dtype=float32)","tf.Tensor(0.1359343, shape=(), dtype=float32)",0.038,0.0
"tf.Tensor(0.0001367192, shape=(), dtype=float32)","tf.Tensor(0.40728757, shape=(), dtype=float32)",0.039,0.0
"tf.Tensor(0.0005440068, shape=(), dtype=float32)","tf.Tensor(0.8165366, shape=(), dtype=float32)",0.04,0.0
"tf.Tensor(0.0013605435, shape=(), dtype=float32)","tf.Tensor(1.8127427, shape=(), dtype=float32)",0.041,-1.237682430128026e-61
"tf.Tensor(0.0031732863, shape=(), dtype=float32)","tf.Tensor(2.945127, shape=(), dtype=float32)",0.042,2.3088835839598232e-45
"tf.Tensor(0.0061184135, shape=(), dtype=float32)","tf.Tensor(4.214252, shape=(), dtype=float32)",0.043000000000000003,5.847166214053922e-42
"tf.Tensor(0.010332666, shape=(), dtype=float32)","tf.Tensor(5.620524, shape=(), dtype=float32)",0.044,1.6086133276218025e-39
"tf.Tensor(0.01595319, shape=(), dtype=float32)","tf.Tensor(7.1641927, shape=(), dtype=float32)",0.045,1.3988524641741466e-37
"tf.Tensor(0.023117384, shape=(), dtype=float32)","tf.Tensor(8.845352, shape=(), dtype=float32)",0.046,5.961984553168671e-36
"tf.Tensor(0.031962737, shape=(), dtype=float32)","tf.Tensor(10.663939, shape=(), dtype=float32)",0.047,1.5414435137603978e-34
"tf.Tensor(0.04262668, shape=(), dtype=float32)","tf.Tensor(12.619735, shape=(), dtype=float32)",0.048,2.7370711570682494e-33
